('suicide blonde', 0.21426802471545447), ('love devastation', 0.1095190002652439), ('color', 0.057559243349905614), ('glory', 0.04690771447399492), ('mad sad moment', 0.03632564168785757), ('rain', 0.032331242367053994), ('deception', 0.03161713601263532), ('squeeze', 0.03149582970511978), ('clothes', 0.030910138074442164), ('hair', 0.03078869053683385)
('ceiling', 0.15641755280648606), ('feeling', 0.1381985056633302), ('tonight', 0.029831946952790518), ('baby', 0.029001078500726064), ('party', 0.026329507751924053), ('walls', 0.02608149102581625), ('round', 0.025384432059960334), ('climb', 0.024705272074391306), ('room', 0.023186999847735888), ('hot', 0.023144839723849037)
('days', 0.16951765090158002), ('hand', 0.16642114028766586), ('pressure', 0.08693825469384386), ('time', 0.07708339208509062), ('place', 0.07705104578251609), ('life', 0.07078841041863794), ('command', 0.0704363801371527), ('face', 0.06253745422222791), ('shadow', 0.061184730005318766), ('control', 0.03966596186872185)
('right stuff', 0.21309411381725066), ('baby', 0.12580058783712655), ('sweet kiss', 0.06085709092760972), ('girl', 0.056341477258040555), ('first time', 0.0526719524393946), ('third time', 0.05181548332210137), ('way', 0.04688364161992011), ('great time', 0.04204819057959537), ('reason', 0.036253193084228044), ('dreams', 0.03547399082949575)
('love', 0.1588223343674364), ('ugly head', 0.1397597863164036), ('collar full', 0.03899379990505354), ('good', 0.03675063715424601), ('starch', 0.03586022447731792), ('pool', 0.03543965887574968), ('relationship', 0.03476398038036014), ('role', 0.034483617661913386), ('sense', 0.033593144834029254), ('black tuxedo', 0.03262685376054238)
('dreams', 0.11002807017671798), ('loneliness', 0.08848471714832136), ('heartbeat', 0.08310857596782376), ('mad', 0.0809694019739119), ('stillness', 0.07987492746742347), ('thunder', 0.0692165981743508), ('players', 0.06586688006307975), ('women', 0.061147546692473506), ('rain', 0.05668036989584882), ('remembering', 0.04915736470240964)
('sound', 0.08145434954714534), ('words', 0.077309277888997), ('thunder', 0.07339363065083461), ('worse', 0.07180229797578498), ('better', 0.07117051040350722), ('light', 0.06927998367433742), ('mind', 0.056156991919215485), ('many times', 0.043638699699804696), ('eyes', 0.03609925175571914), ('clear', 0.032231485044880895)
('mind', 0.13280281873246227), ('free', 0.11933750492965), ('color', 0.10945289772185862), ('shallow', 0.09507343899716562), ('blind', 0.09415246396993247), ('rest', 0.09088389897158046), ('high heel shoes', 0.025700301680760235), ('way', 0.01966928231467221), ('things', 0.017638136080703137), ('cash', 0.01669176563397917)
('science', 0.10766699765828194), ('easy', 0.08741769259533982), ('start', 0.08194793963833437), ('questions', 0.06593521687629397), ('tails', 0.06004231832001124), ('circles', 0.0553279441639257), ('one', 0.05031526588198078), ('shame', 0.044167848097655164), ('hard', 0.04269625027006119), ('progress', 0.04263022041963792)
('maggie', 0.08292378473884715), ('face', 0.04879701812284942), ('alone', 0.045318840804224436), ('heart', 0.0447071879399629), ('hand', 0.04412453884322589), ('class fool', 0.04122407380705714), ('home', 0.040853161819957774), ('lover', 0.03530308954212239), ('morning sun', 0.03494069500075613), ('school', 0.03316089437276091)
('fields', 0.24611630325098907), ('gold', 0.1689270860540763), ('barley', 0.10960496420922008), ('sun', 0.06667294132602865), ('jealous sky', 0.052802118719494), ('west wind', 0.05049433228179841), ('days', 0.0358009359944763), ('love', 0.03472718501526901), ('many years', 0.027071522946895382), ('lover', 0.02529591781070236)
('love', 0.14929191593537236), ('lucky', 0.09449582403259717), ('angel', 0.07599800473944635), ('heaven', 0.0642780768669621), ('heart', 0.05854366888173777), ('eyes', 0.041717904945362136), ('defences', 0.03880605321956067), ('false', 0.03845767186745384), ('kiss', 0.037998177997525355), ('untrue', 0.036962820444949515)
('other', 0.14944221443943542), ('lover', 0.13722029640711073), ('radio', 0.09737324574730544), ('run', 0.08878624919123279), ('love', 0.07954227830435559), ('day', 0.05464123717782432), ('distance', 0.04893007465041066), ('attention', 0.04824794579030447), ('wrong', 0.04312515102935357), ('negative', 0.03830992728617619)
('homeroom homeroom angel', 0.12571932192655652), ('centerfold', 0.0994497227705663), ('na na', 0.0652714183764357), ('memory', 0.06419024467356522), ('cold', 0.06328584665996044), ('blood', 0.06175769433032968), ('na na na na na', 0.0552090443888883), ('aah', 0.02966058400931736), ('pages', 0.018476008910774864), ('something', 0.014772339316616279)
('money', 0.22007327697341045), ('right', 0.13017574009253974), ('honey', 0.1176630682315234), ('hard', 0.04844157665859423), ('day', 0.04599816078499132), ('tips', 0.030377420795852733), ('pay', 0.028850342924599134), ('sacrifice', 0.028287411804593973), ('tears', 0.027894099116256385), ('lot', 0.026785303899148023)
('others', 0.10147944635183545), ('mean', 0.0949910261012033), ('cross', 0.09476273169184424), ('boss', 0.08209531994205262), ('wonderful', 0.07992315441054995), ('thrill', 0.07861860325047737), ('faults', 0.07786719524861971), ('sad', 0.07738812801990212), ('thinking', 0.07709754861384949), ('glad', 0.06107922243604256)
('man', 0.08111848025222472), ('change', 0.07386446147750038), ('better place', 0.05124359705952017), ('mirror', 0.05079228693638391), ('world', 0.04886368297444391), ('wanna', 0.045563096902386045), ('look', 0.038505181193829834), ('gon', 0.0378642249018874), ('hoo', 0.03177139330323644), ('na na', 0.029141424776792754)
('baby', 0.07231452490563428), ('back', 0.04653851907467933), ('moon', 0.04592271628824815), ('private place', 0.037189533513884356), ('ticket', 0.036781540081232064), ('human affection', 0.035682733843384946), ('world', 0.03498137940133874), ('love', 0.03133572092595127), ('much', 0.030380739529827172), ('daddy', 0.029871447532347696)
('late night', 0.08744053386504938), ('small things', 0.06511578296148972), ('true care', 0.0644907564245757), ('lights', 0.060873261645342874), ('ride', 0.060115281574010776), ('stairs', 0.055482699310427874), ('best trip', 0.05538822016565505), ('truth', 0.055295274593403915), ('watching', 0.054023956844451465), ('thrill', 0.05246067308380982)
('broken dreams', 0.2287565107361079), ('downhearted', 0.19869308473304365), ('way', 0.061414530255543436), ('charms', 0.055989864322533583), ('end', 0.05351801576758486), ('sight', 0.05337456265773128), ('orient', 0.04740825825790621), ('bali bays', 0.045920043372281595), ('lovers', 0.04511055522824973), ('farm', 0.04406803406649243)
('vertigo', 0.061270804209925575), ('place', 0.04457821137539626), ('dónde está', 0.044412710569974374), ('hola', 0.03208597966002106), ('lights', 0.030494097924190253), ('ink', 0.02619382761803258), ('crimson nails', 0.026137106257171677), ('sky', 0.025373930495228816), ('full', 0.024959325176489706), ('girl', 0.024890866391347525)
('shout', 0.12764623197599628), ('things', 0.08366088386605812), ('joy', 0.07772817603028064), ('cold', 0.06132335388294894), ('black', 0.056782587060379676), ('ice', 0.05568565068191964), ('hell', 0.05514406452085637), ('white', 0.0522915803128846), ('return', 0.04962061933991619), ('soul', 0.04571754685010446)
